Order_ID,Order_Date,Year,Region,Category,Channel,Customer_Segment,Payment_Method,Quantity,Unit_Price_INR,Discount,Shipping_Cost_INR,Customer_Rating,Returned,Sales_INR
ORD100000,2022-09-16 00:05:18,2022,South,Sports,Mobile App,Home Office,COD,2,1141.25,0.285,209.56,5.0,1,1684.53
ORD100001,2020-10-27 10:49:15,2020,East,Books,Website,Home Office,UPI,2,430.4,0.294,96.73,3.5,0,792.48
ORD100002,2020-08-08 08:53:44,2020,South,Books,Mobile App,Consumer,Debit Card,2,518.92,0.268,248.42,2.1,0,930.8
ORD100003,2021-04-04 06:51:12,2021,South,Beauty,Mobile App,Home Office,Debit Card,3,903.74,0.04,229.9,4.7,0,2864.33
ORD100004,2023-03-08 02:49:44,2023,South,Beauty,Marketplace,Consumer,COD,3,757.6,0.264,136.81,3.8,0,1618.66
ORD100005,2020-09-11 18:52:05,2020,South,Books,Mobile App,Corporate,Net Banking,3,469.77,0.252,189.02,3.4,0,1314.79
ORD100006,2025-05-25 15:03:51,2025,West,Beauty,Marketplace,Corporate,COD,4,788.95,0.261,145.28,3.6,0,2678.5
ORD100007,2022-05-11 12:44:25,2022,East,Home & Kitchen,Mobile App,Home Office,Debit Card,2,2122.71,0.046,197.4,3.7,0,4230.57
ORD100008,2025-01-15 12:36:17,2025,East,Sports,Marketplace,Home Office,COD,7,1761.31,0.035,211.94,4.8,0,13218.11
ORD100009,2023-10-13 09:48:02,2023,North,Beauty,Mobile App,Home Office,COD,6,864.55,0.277,35.11,4.1,0,4008.43
ORD100010,2021-05-02 01:10:29,2021,East,Books,Marketplace,Home Office,COD,6,464.64,0.052,47.41,4.8,1,2590.65
ORD100011,2020-08-06 09:56:39,2020,North,Beauty,Mobile App,Corporate,Debit Card,2,729.9,0.111,104.02,4.3,0,1557.66
ORD100012,2024-03-16 12:30:40,2024,South,Books,Marketplace,Home Office,Credit Card,5,438.86,0.137,231.87,3.8,0,2332.94
ORD100013,2021-04-25 08:39:12,2021,East,Electronics,Mobile App,Consumer,COD,6,2123.45,0.037,117.62,3.7,0,13819.05
ORD100014,2020-09-22 23:51:06,2020,North,Electronics,Mobile App,Corporate,Net Banking,2,1705.11,0.006,225.25,4.4,0,3690.47
ORD100015,2025-07-06 01:30:50,2025,South,Electronics,Mobile App,Consumer,COD,6,2053.7,0.298,131.74,4.5,0,8635.87
ORD100016,2022-05-18 14:26:53,2022,South,Beauty,Marketplace,Home Office,Debit Card,3,1150.96,0.263,93.55,4.6,0,2738.53
ORD100017,2019-05-05 03:26:04,2019,Central,Sports,Mobile App,Home Office,COD,6,1543.69,0.274,228.14,3.8,0,7434.96
ORD100018,2022-06-18 15:01:33,2022,Central,Clothing,Website,Home Office,Net Banking,4,1563.19,0.085,153.35,4.1,1,5380.98
ORD100019,2022-03-23 17:27:02,2022,North,Electronics,Marketplace,Home Office,Net Banking,6,1806.41,0.066,109.31,4.4,0,10845.67
ORD100020,2025-01-17 07:17:00,2025,West,Books,Marketplace,Consumer,UPI,2,493.59,0.128,39.77,4.0,1,836.41
ORD100021,2023-12-24 17:48:59,2023,West,Sports,Website,Home Office,Debit Card,3,1905.9,0.136,54.41,3.3,0,5515.46
ORD100022,2020-05-04 02:37:10,2020,South,Beauty,Marketplace,Corporate,Net Banking,2,864.86,0.002,60.65,3.5,0,2011.6
ORD100023,2020-01-20 13:27:03,2020,East,Home & Kitchen,Mobile App,Home Office,Net Banking,2,1991.92,0.234,110.26,3.8,0,2990.59
ORD100024,2023-03-23 18:54:18,2023,West,Home & Kitchen,Website,Home Office,COD,3,2316.37,0.299,163.61,4.4,0,4821.82
ORD100025,2019-05-02 02:06:42,2019,South,Electronics,Mobile App,Corporate,Credit Card,3,2316.45,0.159,97.67,4.8,0,6382.37
ORD100026,2021-03-26 09:42:53,2021,North,Clothing,Marketplace,Consumer,Credit Card,1,1193.32,0.116,44.42,3.1,0,1113.37
ORD100027,2019-12-20 06:04:13,2019,South,Books,Website,Corporate,COD,5,573.41,0.118,88.26,3.6,0,2780.26
ORD100028,2019-02-22 13:21:05,2019,South,Home & Kitchen,Marketplace,Corporate,COD,4,1404.09,0.029,119.91,3.8,0,5467.67
ORD100029,2025-06-06 12:17:23,2025,South,Sports,Mobile App,Home Office,UPI,6,1217.71,0.08,248.3,4.5,0,6440.29
ORD100030,2019-08-18 13:57:59,2019,South,Sports,Website,Corporate,Credit Card,5,1130.92,0.151,116.46,3.7,0,5543.82
ORD100031,2019-01-24 16:01:55,2019,North,Clothing,Mobile App,Corporate,COD,2,1607.21,0.13,49.62,3.7,0,3270.02
ORD100032,2025-07-12 11:19:09,2025,Central,Clothing,Mobile App,Corporate,UPI,1,1454.97,0.164,157.85,3.1,0,1556.53
ORD100033,2020-04-26 08:25:23,2020,North,Sports,Marketplace,Consumer,Net Banking,3,1371.12,0.255,232.32,4.3,0,3368.18
ORD100034,2024-09-18 02:55:23,2024,West,Electronics,Marketplace,Consumer,UPI,4,1917.61,0.068,203.07,3.9,0,6987.89
ORD100035,2019-03-21 23:03:20,2019,West,Home & Kitchen,Website,Consumer,UPI,2,2026.25,0.008,213.97,3.6,0,4296.36
ORD100036,2020-01-28 11:44:40,2020,West,Books,Marketplace,Corporate,Net Banking,6,690.66,0.011,234.21,3.8,0,5629.44
ORD100037,2019-10-10 18:27:14,2019,Central,Sports,Mobile App,Corporate,Net Banking,5,1371.79,0.04,170.04,4.7,0,8299.7
ORD100038,2023-12-11 04:59:10,2023,North,Sports,Website,Home Office,Debit Card,6,1390.29,0.171,248.88,3.3,0,6998.87
ORD100039,2023-05-05 02:26:16,2023,South,Electronics,Marketplace,Home Office,COD,1,2683.63,0.242,37.32,3.5,0,1984.78
ORD100040,2022-04-30 09:11:47,2022,North,Clothing,Mobile App,Consumer,Credit Card,6,1613.76,0.266,213.66,4.8,0,5871.27
ORD100041,2020-09-09 15:05:49,2020,East,Clothing,Mobile App,Consumer,Debit Card,2,1628.54,0.191,218.54,4.0,0,3221.38
ORD100042,2019-08-16 03:01:32,2019,West,Clothing,Marketplace,Corporate,Net Banking,4,1184.61,0.121,231.67,4.4,0,5047.3
ORD100043,2022-12-25 21:44:38,2022,Central,Clothing,Website,Home Office,Net Banking,4,1061.02,0.046,135.2,4.3,0,4002.03
ORD100044,2020-08-12 16:56:14,2020,South,Books,Website,Consumer,Credit Card,6,545.6,0.12,203.31,4.0,0,2730.83
ORD100045,2023-10-24 04:02:22,2023,South,Electronics,Marketplace,Consumer,Net Banking,2,2007.88,0.1,72.92,3.8,0,3346.33
ORD100046,2024-12-11 03:45:39,2024,Central,Sports,Website,Consumer,Debit Card,2,1854.19,0.261,162.69,4.5,0,3006.39
ORD100047,2022-06-16 15:00:55,2022,West,Beauty,Website,Corporate,Debit Card,3,693.13,0.146,108.9,4.8,0,2020.94
ORD100048,2019-01-13 02:51:21,2019,West,Beauty,Website,Home Office,COD,3,988.77,0.068,161.16,4.7,0,3087.64
ORD100049,2020-12-18 09:13:36,2020,East,Clothing,Marketplace,Home Office,Credit Card,2,1622.92,0.087,178.62,3.2,0,3163.8
ORD100050,2024-12-21 05:05:45,2024,East,Clothing,Website,Corporate,Net Banking,2,1673.32,0.041,106.36,4.8,0,3858.0
ORD100051,2022-09-24 23:44:50,2022,South,Beauty,Website,Consumer,COD,2,996.81,0.276,77.57,3.8,0,1565.93
ORD100052,2023-05-02 11:14:28,2023,West,Clothing,Mobile App,Corporate,Net Banking,4,1654.19,0.015,100.77,3.5,0,7926.55
ORD100053,2022-03-16 04:42:47,2022,South,Sports,Website,Corporate,COD,3,1187.42,0.004,176.07,3.9,0,3349.63
ORD100054,2020-02-20 23:20:11,2020,Central,Electronics,Mobile App,Consumer,Debit Card,3,2084.73,0.055,178.91,4.5,0,5707.34
ORD100055,2025-04-10 23:23:31,2025,North,Electronics,Mobile App,Home Office,Credit Card,6,1660.54,0.243,193.09,4.4,0,7810.21
ORD100056,2024-05-29 15:04:16,2024,East,Sports,Mobile App,Home Office,COD,2,1934.48,0.157,57.84,3.8,0,3750.29
ORD100057,2025-12-18 16:31:54,2025,South,Beauty,Mobile App,Consumer,Net Banking,7,1121.85,0.188,210.07,4.5,0,7880.68
ORD100058,2024-12-26 15:16:23,2024,West,Electronics,Marketplace,Consumer,Credit Card,6,1683.94,0.107,181.39,4.1,0,9083.03
ORD100059,2021-01-14 03:16:48,2021,West,Books,Mobile App,Consumer,Credit Card,2,417.99,0.021,36.71,3.6,0,845.82
ORD100060,2020-10-11 21:32:20,2020,Central,Electronics,Mobile App,Home Office,Credit Card,3,2094.03,0.257,103.83,3.5,0,4186.2
ORD100061,2020-09-27 02:24:54,2020,West,Books,Website,Corporate,COD,2,490.71,0.058,132.68,4.3,0,1220.62
ORD100062,2025-06-06 10:28:46,2025,South,Sports,Website,Consumer,UPI,2,1823.72,0.01,109.34,3.9,0,3556.55
ORD100063,2022-11-24 12:38:16,2022,South,Books,Website,Consumer,Net Banking,3,461.05,0.172,55.83,3.1,0,1485.32
ORD100064,2022-03-07 14:14:11,2022,Central,Books,Website,Consumer,Debit Card,1,651.67,0.025,75.62,4.6,0,668.94
ORD100065,2025-10-10 21:01:41,2025,East,Clothing,Website,Corporate,UPI,1,1371.44,0.029,35.4,3.7,0,1725.1
ORD100066,2023-03-23 08:28:10,2023,North,Sports,Website,Home Office,Net Banking,4,1436.35,0.24,50.48,5.0,1,4681.42
ORD100067,2025-05-13 12:11:43,2025,Central,Clothing,Website,Consumer,Net Banking,5,1079.19,0.147,88.59,3.1,1,4305.42
ORD100068,2025-11-21 18:20:27,2025,West,Home & Kitchen,Website,Consumer,Net Banking,3,2337.71,0.072,210.39,3.9,0,6843.36
ORD100069,2019-07-23 01:30:43,2019,North,Clothing,Mobile App,Corporate,Debit Card,7,1416.86,0.105,145.86,3.5,0,10759.44
ORD100070,2021-07-13 02:04:09,2021,West,Home & Kitchen,Website,Home Office,Credit Card,3,1784.99,0.219,123.39,3.4,0,4228.03
ORD100071,2024-02-20 11:02:28,2024,West,Books,Website,Corporate,UPI,7,524.77,0.02,175.68,3.7,0,4350.97
ORD100072,2024-09-09 10:26:48,2024,West,Home & Kitchen,Website,Consumer,UPI,2,2246.67,0.035,149.13,5.0,0,4777.99
ORD100073,2020-01-15 12:39:44,2020,Central,Electronics,Website,Consumer,Credit Card,4,2643.64,0.185,58.93,4.1,0,9091.17
ORD100074,2021-03-24 19:52:31,2021,East,Clothing,Website,Home Office,Net Banking,6,1555.0,0.182,78.98,3.5,0,7700.74
ORD100075,2022-11-02 03:06:58,2022,East,Sports,Mobile App,Home Office,UPI,1,1633.36,0.292,78.95,2.8,0,1164.03
ORD100076,2024-08-04 18:57:15,2024,West,Beauty,Mobile App,Home Office,COD,7,1114.54,0.112,161.99,2.9,0,7328.26
ORD100077,2019-10-16 17:51:47,2019,North,Beauty,Marketplace,Corporate,Debit Card,3,823.14,0.02,131.56,3.7,0,2794.54
ORD100078,2023-03-16 11:25:17,2023,North,Home & Kitchen,Mobile App,Home Office,Credit Card,4,2046.67,0.161,115.27,3.6,0,6173.15
ORD100079,2021-01-27 16:59:36,2021,Central,Clothing,Mobile App,Corporate,COD,5,1264.18,0.192,152.46,3.9,0,5987.73
ORD100080,2020-07-07 00:07:25,2020,South,Beauty,Marketplace,Consumer,UPI,5,972.0,0.042,243.43,2.5,0,4861.36
ORD100081,2022-08-10 08:38:42,2022,East,Beauty,Website,Corporate,COD,1,1169.09,0.166,99.12,3.9,0,1039.74
ORD100082,2021-11-24 06:01:00,2021,South,Books,Marketplace,Home Office,Credit Card,7,710.32,0.059,144.44,4.7,0,4694.82
ORD100083,2023-06-13 21:04:34,2023,South,Beauty,Marketplace,Corporate,Credit Card,5,928.75,0.253,135.68,5.0,0,3795.79
ORD100084,2021-03-22 21:02:25,2021,East,Books,Mobile App,Home Office,Debit Card,7,586.09,0.251,187.66,2.8,0,3914.56
ORD100085,2024-10-05 07:02:20,2024,Central,Sports,Marketplace,Home Office,COD,4,1865.29,0.129,190.66,3.5,0,6807.13
ORD100086,2019-07-19 15:28:52,2019,East,Electronics,Website,Consumer,Credit Card,5,2842.62,0.29,190.4,3.4,0,11133.88
ORD100087,2025-01-11 23:07:42,2025,North,Home & Kitchen,Marketplace,Consumer,COD,4,2120.82,0.294,74.33,4.1,0,6006.38
ORD100088,2019-03-18 06:11:02,2019,South,Home & Kitchen,Mobile App,Consumer,Credit Card,7,1414.53,0.039,128.8,3.2,0,8526.48
ORD100089,2024-02-24 22:47:18,2024,North,Electronics,Website,Home Office,Credit Card,6,2040.39,0.11,208.46,5.0,0,11701.43
ORD100090,2021-06-04 14:23:11,2021,Central,Clothing,Website,Home Office,Net Banking,7,1616.04,0.18,113.94,4.0,0,8895.59
ORD100091,2021-09-06 19:17:14,2021,South,Sports,Marketplace,Consumer,Net Banking,4,1758.89,0.025,246.54,3.9,0,6915.42
ORD100092,2019-02-18 15:37:50,2019,South,Home & Kitchen,Mobile App,Consumer,Credit Card,6,2084.81,0.115,110.25,5.0,0,10648.32
ORD100093,2023-11-30 13:37:23,2023,North,Electronics,Website,Corporate,UPI,3,2458.19,0.078,139.49,4.0,0,7537.56
ORD100094,2020-02-27 23:40:51,2020,East,Clothing,Mobile App,Corporate,Credit Card,4,1271.91,0.286,134.4,4.3,0,4591.62
ORD100095,2023-08-12 19:18:46,2023,Central,Clothing,Marketplace,Home Office,Debit Card,6,1263.32,0.123,125.41,3.5,0,7278.38
ORD100096,2024-01-28 13:38:44,2024,East,Clothing,Mobile App,Home Office,UPI,1,1553.39,0.229,216.04,3.1,0,1656.82
ORD100097,2024-11-30 10:19:04,2024,West,Electronics,Website,Consumer,UPI,5,2005.47,0.116,64.16,3.6,0,10162.58
ORD100098,2023-12-15 21:08:55,2023,North,Sports,Website,Consumer,COD,1,1689.99,0.04,154.89,5.0,0,1486.39
ORD100099,2021-02-09 15:13:51,2021,North,Sports,Website,Corporate,UPI,5,1724.12,0.259,166.09,4.4,0,6402.38
ORD100100,2024-03-02 19:28:30,2024,West,Home & Kitchen,Marketplace,Corporate,Debit Card,4,2186.11,0.0,217.27,4.2,0,8278.58
ORD100101,2024-10-12 03:05:46,2024,North,Beauty,Marketplace,Home Office,Net Banking,4,833.34,0.017,164.02,3.4,0,3614.67
ORD100102,2021-03-21 15:26:38,2021,East,Books,Marketplace,Corporate,Credit Card,4,636.92,0.109,241.2,4.6,1,2561.71
ORD100103,2019-11-14 09:30:29,2019,South,Books,Mobile App,Corporate,Debit Card,4,444.71,0.206,221.88,3.1,0,1763.79
ORD100104,2025-03-24 21:21:12,2025,North,Electronics,Marketplace,Consumer,UPI,3,1817.05,0.103,106.72,3.0,0,4909.84
